specobjid,label,ra,dec,z,plate,mjd,fiberid,class,subclass,filepath,source_csv
3.15321e+17,white_dwarf,170.01664,-0.38968843,-0.000194091,280,51612,251,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0280-51612-0251.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.16509e+17,white_dwarf,171.80071,0.2789693,9.19e-05,281,51614,476,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0281-51614-0476.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.85208e+17,white_dwarf,237.38482,0.37923855,-0.000120285,342,51691,547,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0342-51691-0547.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.85213e+17,white_dwarf,237.45804,1.1465347,0.000118514,342,51691,565,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0342-51691-0565.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.85233e+17,white_dwarf,238.15921,0.65288534,0.000136894,342,51691,639,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0342-51691-0639.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.85234e+17,white_dwarf,238.09394,0.62348302,-6.62e-05,342,51691,640,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0342-51691-0640.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.86205e+17,white_dwarf,240.03364,-0.14456297,-6.48e-05,343,51692,78,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0343-51692-0078.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.86236e+17,white_dwarf,239.01093,-0.12270452,-5.82e-05,343,51692,191,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0343-51692-0191.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.86267e+17,white_dwarf,237.77718,-0.19579812,0.00053349,343,51692,303,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0343-51692-0303.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
3.86285e+17,white_dwarf,238.52744,0.58146071,-7.34e-05,343,51692,369,STAR,WD,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\white_dwarf\spec-0343-51692-0369.fits,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\catalog\white_dwarfs.csv
